"name","group","element","units","context","S45777","S45778","S45779","S45780","S45781","S45782","S45783","S45784","S45785","S45786","S45787","S45788","S45789","S45790","S45791","S45792","S45793","S45794","S45795","S45796","S45797","S45798","S45799","S45800","S45801","S45802","S45803","S45804","S45805","S45806","S45807","S45808","S45809","S45810","S45811","S45812","S45813","S45814","S45815","S45816","S45817","S45818","S45819","S45820","S45821","S45822","S45823","S45824","S45825","S45826","S45827","S45828","S45829","S45830","S45831","S45832","S45833","S45834","S45835","S45836","S45837","S45838","S45839","S45840","S45841","S45842","S45843","S45844","S45845","S45846","S45847","S45848","S45849","S45850","S45851","S45852","S45853","S45854","S45855","S45856","S45857","S45858","S45859","S45860","S45861","S45862","S45863","S45864","S45865","S45866","S45867","S45868","S45869","S45870","S45871","S45872","S45873","S45874","S45875","S45876","S45877","S45878","S45879","S45880","S45881","S45882","S45883","S45884","S45885","S45886","S45887","S45888","S45889","S45890","S45891","S45892","S45893","S45894","S45895","S45896","S45897","S45898","S45899","S45900","S45901","S45902","S45903","S45904","S45905","S45906","S45907","S45908","S45909","S45910","S45911","S45912","S45913","S45914","S45915","S45916","S45917"
Cassia mimosoides-type,TRSH,pollen,NISP,,2,2,2,1,1,2,2,5,4,,1,,,1,2,,1,3,1,,5,,3,1,,,2,,2,2,1,,3,,,,,,,,1,1,1,1,,,1,,3,1,3,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Celastraceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Celosia trigyna-type,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
Celtis,TRSH,pollen,NISP,,,2,1,,,,2,,,1,3,3,4,7,9,4,5,9,6,6,7,3,2,3,6,7,4,3,8,8,5,7,3,4,5,1,2,6,,2,,1,2,3,2,1,4,4,7,6,1,3,1,3,3,8,1,2,1,1,,2,,2,3,5,2,1,9,4,8,6,5,3,6,2,2,3,3,4,5,5,,,3,2,2,2,3,,1,,,,,,1,2,4,2,3,1,5,,,,,1,2,,,,,1,1,,,2,1,3,1,,,,,1,,,,,,,,1,,,1,,,,
Cerastium afromontanum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,3,2,1,,,,1,7,,1,,1,
Cerastium octandrum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2,2,1,2,3,2,1,1,2,,,,1,5,,,
Chrysophyllum bangweolense-type,TRSH,pollen,NISP,,,,,,,,,1,2,,,,1,,2,3,,,,,,,,1,1,,,1,,,,2,,1,,,,1,1,,1,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,3,,,,1,,1,3,1,2,2,1,2,,1,1,2,9,15,3
Clausena anisata,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clematis,UPHE,pollen,NISP,,1,,,1,,,,,,,,,,,,1,1,,1,2,,1,,,,1,,1,1,,1,,,1,,,,,,,1,1,1,,,1,,1,1,2,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,1,,,,,,,,3,,,,2,1,,5,2,1,1,,3,,1,,2,,,1,,,,,,,,
