YBP;Acacia;Acalypha;Alchemilla;Allophylus;Aloe;Anthospermum;Apiaceae;Artemisia;Aster;Asteraceae;Brassicaceae;Capparidaceae;Carduus;Caryophylaceae;Cassia;Chenopodiaceae;Clematis;Combretum;Commiphora;Cussonia;Dobera;Dodonaea;Ephedra;Erica;Euclea;Euphorbiaceae;Ficus;Hagenia;Hypericum;Hypoestes;Iridaceae;Juniperus;Justicia;Lamiaceae;Lannea;Leguminosae;Macaranga;Maytenus;Melastomataceae;Monoletes;Myrica;Myrsine;Olea;Poaceae;Podocarpus;Polygonum;Rapanea;Rhus;Rosa;Rumex;Schefflera;Securinega;Senecio;Solanum;Teclea;Urticaceae;Zanthoxylum;Undetermined
3760;0;0;5;0;0;0;5;24;2;10;1;0;0;2;0;6;0;12;0;0;0;6;0;22;0;0;0;4;1;0;1;51;1;1;0;2;0;0;0;1;3;1;20;93;111;0;0;0;1;0;1;0;3;0;0;0;0;4
3864;0;0;10;0;0;0;2;21;1;11;1;0;0;3;0;4;0;12;0;0;0;10;0;38;0;0;0;3;5;0;2;40;0;5;0;4;0;0;0;5;2;0;13;105;113;0;1;1;0;0;0;0;0;0;0;0;0;5
3933;0;0;7;0;0;9;6;25;0;31;0;0;0;4;1;5;0;13;0;0;0;9;2;27;0;1;0;2;3;0;5;21;0;0;0;1;0;0;0;2;2;1;20;109;115;0;0;1;0;0;0;0;1;0;0;0;0;2
4005;0;0;0;0;0;7;7;15;1;20;2;0;0;0;0;5;0;12;0;0;0;7;3;49;0;0;0;0;3;0;5;60;1;1;0;2;0;0;0;3;3;1;17;265;86;0;1;0;0;0;0;0;3;0;0;0;2;2
4093;0;0;12;0;0;0;3;17;2;22;1;0;0;0;0;6;0;10;0;0;0;10;5;75;0;0;0;3;1;0;5;52;0;1;0;1;0;0;0;4;4;1;19;130;119;0;0;0;0;0;1;0;3;0;0;0;0;0
4244;0;0;2;0;0;8;9;19;2;17;2;1;0;0;0;8;0;7;1;0;0;7;5;94;0;0;0;4;0;0;3;39;1;3;0;3;0;0;0;3;5;1;17;274;104;0;1;1;0;0;0;0;4;0;0;0;0;4
4340;0;0;10;0;0;3;11;21;0;21;1;1;0;1;0;11;0;10;0;0;0;5;4;42;0;2;0;0;3;0;5;35;0;1;0;4;0;0;0;4;4;1;12;154;99;0;1;0;0;0;0;0;2;0;0;0;0;5
4473;0;0;6;0;0;0;10;19;2;9;1;0;0;0;0;6;0;10;0;0;0;9;1;15;0;0;0;1;2;0;1;3;2;0;0;5;0;0;0;4;3;1;15;186;87;0;1;1;0;0;0;0;4;0;0;0;0;4
4549;0;0;3;0;0;0;2;22;1;32;2;0;0;4;0;8;0;10;0;0;0;9;2;10;0;0;0;5;1;0;4;10;1;0;0;0;0;0;0;2;15;0;10;120;82;0;1;0;0;0;2;0;0;0;0;0;0;5
4657;0;0;1;0;2;5;9;22;2;11;2;0;0;2;0;14;0;10;0;0;0;5;3;17;0;0;0;4;5;0;5;6;0;1;0;2;0;0;0;2;13;0;10;88;96;0;1;0;0;0;1;0;0;0;0;1;0;2
4735;0;0;9;0;0;8;14;25;0;45;1;0;0;4;0;8;0;7;0;0;0;5;5;21;0;0;0;3;3;0;2;8;1;4;0;0;0;0;0;2;14;0;12;32;92;0;0;1;0;0;0;0;1;0;0;0;0;1
4841;0;0;12;0;0;9;2;17;2;9;1;0;0;1;0;3;0;9;0;0;0;9;5;37;0;0;0;5;0;0;5;8;1;1;0;3;0;0;0;5;15;0;12;108;100;0;1;0;0;0;0;0;2;0;0;0;0;5
4934;0;0;3;0;0;3;5;2;1;34;2;0;0;3;0;16;0;9;0;0;0;8;5;42;0;0;0;5;2;1;1;3;2;1;0;1;0;0;0;5;14;2;16;40;95;0;2;0;0;0;0;0;4;0;0;0;0;1
5047;2;0;3;0;0;4;14;2;0;38;0;0;0;3;0;21;0;3;0;0;0;5;0;50;0;0;0;1;4;0;1;7;1;1;0;2;0;0;0;1;10;1;8;109;108;0;2;1;0;0;0;0;1;0;0;0;0;3
5175;1;0;10;0;0;3;8;7;0;31;2;0;0;1;0;5;0;1;0;0;0;5;0;20;0;2;0;0;2;0;0;12;0;4;0;3;0;0;0;4;12;2;1;89;98;0;1;1;0;0;0;0;3;0;0;0;0;4
5335;2;1;0;0;0;7;4;0;0;36;1;0;0;4;0;12;0;3;0;0;0;2;0;37;0;0;0;2;0;0;0;15;0;1;0;1;0;0;0;3;5;2;2;59;105;0;1;1;0;0;0;0;5;0;0;0;0;5
5397;4;0;8;0;0;3;10;1;2;31;2;0;0;2;0;10;0;1;0;0;0;5;0;36;0;0;0;0;0;0;2;13;1;2;0;4;0;0;0;3;3;0;3;75;85;0;0;1;0;0;0;0;0;0;0;0;0;2
5471;5;0;4;0;0;6;14;6;1;32;2;0;0;0;0;10;0;3;0;0;0;3;0;41;0;1;0;3;0;0;2;5;0;3;0;5;0;0;0;2;4;0;4;169;62;0;1;0;0;0;0;0;2;0;0;0;0;1
5538;0;0;5;0;0;5;13;7;1;12;2;0;0;4;0;11;0;3;0;0;0;0;0;28;0;0;0;3;0;0;2;14;2;2;0;2;0;0;0;3;4;0;4;138;94;0;2;1;0;0;0;0;2;0;0;0;0;5
5610;0;0;7;0;0;7;8;7;1;22;0;0;0;1;0;4;0;1;0;0;0;5;0;53;0;0;0;0;2;0;2;11;0;3;0;4;0;0;0;5;4;2;5;133;97;0;0;1;0;0;0;0;0;0;0;0;3;4
5709;0;0;6;0;0;0;3;5;1;36;2;0;0;5;0;1;0;4;0;0;0;2;0;48;0;1;0;5;2;0;0;15;2;1;0;5;1;0;0;4;1;0;0;159;75;0;0;1;0;0;0;0;3;0;0;0;0;4
5807;0;0;9;0;0;2;7;9;2;43;0;0;0;3;0;3;0;2;0;0;0;2;0;36;0;0;0;4;5;0;0;33;0;4;0;5;0;0;0;4;1;1;5;122;45;0;2;0;1;0;0;0;1;0;0;0;0;5
5880;0;0;10;0;0;9;0;8;2;29;1;0;0;2;0;4;0;0;0;0;1;2;0;21;0;2;0;2;5;0;3;31;1;5;0;3;0;0;0;4;0;2;5;192;32;0;2;0;0;0;0;0;1;0;0;0;0;1
5948;0;0;4;0;0;6;7;5;2;35;0;0;0;1;0;0;0;5;0;0;0;1;0;57;0;2;0;0;2;0;1;30;2;3;0;2;0;0;0;1;3;2;0;186;24;0;1;0;0;0;0;0;3;0;0;1;0;2
6038;0;0;7;0;0;9;6;1;0;25;0;0;0;5;0;5;0;4;0;0;0;1;0;64;0;2;0;3;3;0;1;39;1;2;0;5;2;0;0;4;0;2;2;121;29;0;1;1;0;0;0;0;1;0;0;0;0;2
6106;0;0;2;0;0;5;6;7;0;10;1;0;0;4;0;1;0;3;0;0;0;1;0;48;0;0;0;1;1;0;4;26;2;0;0;0;0;0;0;2;0;2;5;170;28;0;2;1;0;0;0;0;4;0;0;0;0;0
6147;0;0;3;0;0;8;13;5;1;2;2;0;0;2;0;4;0;1;0;0;0;1;0;35;0;0;0;1;2;0;0;32;0;1;0;3;0;0;0;4;2;1;5;133;32;0;2;1;0;0;0;0;1;0;0;0;0;5
6224;0;0;3;0;0;0;15;7;0;18;2;0;0;4;0;5;0;0;1;0;0;0;0;52;0;0;0;5;5;0;5;33;1;4;1;3;0;0;0;4;3;0;1;210;22;0;2;1;0;0;0;1;1;0;0;0;0;2
6280;0;0;11;0;0;12;4;8;0;31;1;0;0;0;0;0;0;2;0;2;0;1;0;69;0;0;0;5;1;0;4;36;1;5;0;4;0;0;0;5;1;2;0;174;29;0;0;0;0;0;0;1;2;0;0;0;3;3
