"name","group","element","units","context","S428627","S428628","S428629","S428630","S428631","S428632","S428633","S428634","S428635","S428636","S428637","S428638","S428639","S428640","S428641","S428642","S428643","S428644","S428645","S428646","S428647","S428648","S428649","S428650","S428651","S428652","S428653","S428654","S428655","S428656","S428657","S428658","S428659","S428660","S428661","S428662","S428663","S428664","S428665","S428666","S428667","S428668","S428669","S428670","S428671","S428672","S428673","S428674","S428675","S428676","S428677","S428678","S428679","S428680","S428681","S428682","S428683","S428684","S428685","S428686","S428687","S428688","S428689","S428690","S428691","S428692","S428693"
Laurembergia,UPHE,pollen,NISP,,27,39,22,16,36,34,54,53,68,141,53,55,52,56,43,36,29,41,52,60,76,83,164,59,1,1,,,,1,3,1,,,,,,,,1,,,,,,1,,,,,,4,,,,,,,,,1,3,1,,,,
Leucas-type,UPHE,pollen,NISP,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loranthaceae undiff.,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Lycopodiaceae (foveolate),VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,1,,1,,3,1,1,1,,,1,,,,,,,,1,,1,,,2,,1,2,,3,1,
Macaranga,TRSH,pollen,NISP,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,,2,,,,1,,,,,,,1,
Monoletes undiff.,PTER,spore,NISP,,5,5,7,5,4,6,2,11,7,3,4,17,3,6,17,5,23,3,15,7,6,3,3,29,2,1,4,11,3,4,5,5,,,1,1,2,5,2,3,2,6,6,5,5,6,9,18,12,4,11,3,8,12,40,17,17,2,2,17,6,4,3,4,3,5,3
Morella,TRSH,pollen,NISP,,6,12,17,2,7,1,,1,,6,4,1,4,13,3,,6,2,2,8,1,6,5,1,,1,,2,,,,7,2,,,1,,,,,,,,,,,,,,1,1,,,,1,,,,,1,,1,,1,,2,
Neoboutonia-type,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,1,,1,,,,,,,,,1,,,,1,3
Nuxia-type,TRSH,pollen,NISP,,2,2,2,,2,,1,,4,3,4,,2,4,1,2,,1,,1,1,1,,,5,3,7,,2,2,3,,3,,,,1,2,1,,1,2,1,,1,,1,,1,1,1,1,1,,5,,,2,3,7,1,,,,2,,
Nymphaea lotus-type,AQVP,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Ocotea,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,1,,,,,,,,,1,2,1,,,,,,,,,,,1,,,,,,,1,,,,1
