"name","group","element","units","context","S428969","S428970","S428971","S428972","S428973","S428974","S428975","S428976","S428977","S428978","S428979","S428980","S428981","S428982","S428983","S428984","S428985","S428986","S428987","S428988","S428989","S428990","S428991","S428992","S428993","S428994","S428995","S428996","S428997","S428998","S428999","S429000","S429001","S429002","S429003","S429004","S429005","S429006","S429007","S429008","S429009","S429010","S429011","S429012","S429013","S429014","S429015","S429016","S429017","S429018","S429019","S429020","S429021","S429022","S429023","S429024","S429025","S429026","S429027","S429028","S429029","S429030","S429031","S429032","S429033","S429034","S429035","S429036","S429037","S429038","S429039","S429040","S429041","S429042","S429043","S429044","S429045","S429046","S429047","S429048","S429049","S429050","S429051","S429052","S429053","S429054","S429055","S429056","S429057","S429058","S429059","S429060","S429061","S429062","S429063","S429064"
Gladiolus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,6,1,,1,,,,,,,,,,,,,,,,,6,,3,,,1,,,,1,,1,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Gnidia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,4,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnera,UPHE,pollen,NISP,,,,,,,,,,3,,,,,,,,,10,1,3,,,,,,,,,4,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,2,,1,,,,,,,,,
Hagenia,TRSH,pollen,NISP,,1,5,11,17,4,2,17,1,5,,2,5,1,,5,7,3,2,3,1,,1,1,2,111,14,37,4,12,6,53,,5,17,19,19,42,34,30,508,59,340,84,71,3,4,1,3,7,5,10,5,36,3,11,28,35,73,117,27,76,125,36,42,38,35,18,65,36,35,19,29,7,80,9,11,9,9,8,1,9,3,11,5,13,5,3,7,,2,8,2,3,5,13,9
Heliotropium,UPHE,pollen,NISP,,,,8,1,1,1,,6,2,,7,3,1,9,,,,4,,,,8,5,2,,1,,,,1,,,,,,2,,,,,,,,,1,1,1,,1,,1,,3,1,,,,,2,1,3,,2,2,1,1,,1,,,3,2,3,,,,,,,,,2,1,,1,,,,,,,,,,,
Hydrocotyle,AQVP,pollen,NISP,,,2,42,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,1,12,1,,,1,,,1,,,,,,,,1,,1,,1,,,,,,,,,,,,1,,,,,,,1,2,
Hygrophila,AQVP,pollen,NISP,,,,,,2,,,,3,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,1,,,,,1,,,,,,1,,1,,1,,,,,,,2,,,,,,,,,,,,,,
Hypericum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,61,,8,,28,,1,1,2,,1,,,3,,1,,,5,7,1,13,,7,,3,,,,,,,1,2,,1,,,,,,,,,,,,1,,,,,,,,,
Hypoestes,UPHE,pollen,NISP,,,,,,,,3,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Hyptis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,5,,5,2,1,1,2,1,3,1,1,,,1,1,2,2,2,,,,1,1,,1,,1,1,,,1,7,1,2,,,,,,,,3,,1,,1,,,,1,,2,1,,
Ilex,TRSH,pollen,NISP,,3,5,129,52,3,25,31,241,5,36,107,17,12,49,16,6,3,1,1,56,1,1,1,4,43,16,10,10,1,1,,1,,1,6,1,,,,21,3,13,,2,,,1,1,1,5,1,,,1,1,1,1,,,,,,1,1,1,4,1,,2,,,1,1,2,1,1,,1,,,1,,,17,3,,1,,,2,,,2,,1,
Impatiens,UPHE,pollen,NISP,,1,1,1,3,,1,1,2,,1,6,,,,,,,1,,,,1,2,,,,,1,2,,,,,,,,,,1,4,,,,,,,1,,4,,48,,4,44,3,,,,1,2,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,1,
Indeterminable,UNID,pollen/spore,NISP,,2,1,82,28,1,15,3,60,1,26,18,1,1,20,,15,2,58,1,71,5,8,10,1,14,,1,,9,1,1,3,,2,,,,7,22,7,,5,4,6,2,2,1,,,8,1,1,2,1,3,,,4,1,1,2,,2,9,6,13,9,5,1,3,3,5,2,5,6,7,3,,2,3,1,1,1,,1,1,,,3,,3,3,2,1,7,4
Indigofera,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,3,1,,1,,3,,,,,,,,,
Ipomoea,UPHE,pollen,NISP,,,,,,1,2,1,3,5,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Iridaceae,UPHE,pollen,NISP,,,,,,,,,,5,,,,,,,,,,6,,2,22,1,,21,,2,,,,1,2,36,7,10,,5,,,,2,,,,,,,,,1,1,2,35,1,11,,,10,,,1,,,1,1,,,,,1,1,,,,1,,,,,,,2,1,16,4,,1,,,3,,,,1,,
Isoberlinia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Juniperus,TRSH,pollen,NISP,,2,4,2,,5,,2,1,3,7,1,,,3,,,,,,3,,4,3,2,8,,,1,1,4,1,10,11,10,12,23,12,11,3,1,3,,,,4,,5,,3,3,17,30,2,10,69,10,15,78,184,27,98,99,43,166,60,94,128,168,87,112,53,274,53,45,99,77,68,75,41,9,100,15,83,,20,88,13,57,68,82,90,25,76,21,90,24
Justicia,UPHE,pollen,NISP,,1,2,,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,13,1,25,,3,,,,,1,,,,,,1,,,,2,,,,,,,,,,1,,,1,,3,7,4,1,1,,1,1,,1,1,,,,,,,2,1,,,,,,,,,,,2,,
Kedrostis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,1,,,,,,,4,2,,,,1,,,,,,1,,,1
Kohautia,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,1,,,1,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,UPHE,pollen,NISP,,2,,1,1,1,,,,,1,10,,,13,,7,,13,,,,2,1,,5,1,4,,,,,,,1,2,,3,,,2,5,,,,7,,2,,2,1,1,6,,1,,5,2,,,,,,,,1,,1,,1,,2,,1,,,,,1,1,,,,11,,1,,,,,1,,,,2,,
Lannea,TRSH,pollen,NISP,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,1,,,,1,,,,,,,,,
Lasianthus,TRSH,pollen,NISP,,1,1,,,1,4,3,31,3,6,12,6,1,2,,,,3,,4,1,,,,6,,,,,,,,,,,3,2,2,,5,,,,,2,,1,,,,,,,1,,,,,,1,,,1,,1,,,,,,1,,2,,1,,,,,,,,1,,1,,,,,,,,,1,,2
